,AVR_Bayes,AVR_KNN
0,"[1.         0.93333333 1.         0.8        1.         1.
 1.         0.86666667 0.93333333 1.        ]","[1.         1.         1.         0.86666667 1.         1.
 1.         0.86666667 0.93333333 0.93333333]"
1,"[1.         1.         0.93333333 1.         0.93333333 0.86666667
 1.         1.         1.         0.86666667]","[1.         0.93333333 1.         0.93333333 0.93333333 0.93333333
 1.         1.         1.         0.86666667]"
2,"[0.93333333 1.         1.         0.93333333 0.86666667 0.93333333
 0.93333333 1.         0.93333333 1.        ]","[0.86666667 1.         1.         0.93333333 0.93333333 0.93333333
 0.93333333 1.         1.         1.        ]"
3,"[0.8        1.         1.         1.         0.86666667 1.
 0.93333333 1.         0.93333333 1.        ]","[0.86666667 0.93333333 1.         1.         1.         1.
 0.93333333 0.93333333 0.93333333 1.        ]"
4,"[0.93333333 0.93333333 0.93333333 0.93333333 1.         1.
 1.         0.93333333 1.         0.86666667]","[1.         0.86666667 0.93333333 1.         0.93333333 1.
 1.         0.93333333 1.         0.93333333]"
5,"[0.8        0.86666667 1.         1.         0.93333333 1.
 1.         1.         0.93333333 1.        ]","[0.93333333 0.86666667 1.         1.         1.         1.
 1.         0.93333333 0.93333333 0.93333333]"
6,"[0.86666667 0.86666667 0.93333333 0.93333333 1.         1.
 1.         1.         1.         0.93333333]","[0.86666667 0.93333333 1.         1.         1.         1.
 0.93333333 1.         1.         0.86666667]"
7,"[1.         1.         1.         0.86666667 0.93333333 0.93333333
 1.         0.93333333 0.86666667 1.        ]","[1.         1.         1.         0.86666667 1.         0.86666667
 0.93333333 1.         0.93333333 1.        ]"
8,"[1.         1.         1.         0.86666667 0.93333333 0.93333333
 0.93333333 0.93333333 0.93333333 1.        ]","[0.93333333 1.         1.         0.93333333 0.86666667 0.93333333
 1.         0.93333333 1.         1.        ]"
9,"[0.86666667 1.         0.8        0.93333333 0.93333333 1.
 1.         1.         0.93333333 1.        ]","[0.86666667 1.         0.93333333 0.93333333 1.         1.
 0.86666667 1.         0.93333333 1.        ]"
10,"[1.         0.93333333 1.         0.93333333 0.93333333 1.
 0.93333333 1.         0.93333333 0.86666667]","[1.         0.93333333 1.         1.         0.86666667 1.
 0.93333333 1.         0.93333333 0.93333333]"
11,"[0.93333333 1.         0.93333333 0.93333333 0.86666667 0.93333333
 1.         1.         1.         0.93333333]","[0.93333333 1.         1.         0.93333333 0.93333333 0.93333333
 0.93333333 0.93333333 1.         1.        ]"
12,"[0.93333333 1.         0.93333333 0.93333333 0.86666667 0.93333333
 0.93333333 1.         1.         0.93333333]","[0.93333333 1.         0.93333333 1.         0.8        1.
 1.         1.         1.         0.93333333]"
13,"[1.         1.         1.         1.         0.86666667 0.93333333
 1.         0.86666667 1.         0.86666667]","[1.         1.         0.93333333 1.         0.93333333 1.
 0.93333333 0.93333333 1.         0.86666667]"
14,"[0.86666667 0.86666667 1.         1.         1.         0.86666667
 1.         1.         0.93333333 1.        ]","[1.         0.86666667 1.         0.93333333 1.         0.86666667
 0.93333333 0.93333333 1.         1.        ]"
15,"[1.         0.93333333 1.         0.8        0.93333333 1.
 1.         1.         0.93333333 0.93333333]","[1.         0.93333333 1.         0.86666667 0.93333333 1.
 0.93333333 1.         0.86666667 1.        ]"
16,"[1.         1.         1.         1.         0.93333333 1.
 0.93333333 0.86666667 0.86666667 0.93333333]","[1.         1.         1.         0.93333333 0.93333333 0.93333333
 1.         0.86666667 0.93333333 0.93333333]"
17,"[1.         0.93333333 0.86666667 1.         0.86666667 1.
 1.         1.         1.         0.86666667]","[1.         1.         0.8        1.         0.93333333 1.
 1.         0.93333333 1.         0.93333333]"
18,"[0.93333333 0.93333333 0.86666667 1.         1.         1.
 0.86666667 1.         0.86666667 1.        ]","[0.93333333 0.86666667 0.93333333 1.         1.         1.
 0.93333333 1.         0.93333333 1.        ]"
19,"[1.         0.93333333 0.93333333 0.93333333 0.93333333 0.93333333
 1.         1.         0.93333333 0.93333333]","[1.         0.93333333 0.93333333 1.         0.93333333 1.
 1.         1.         0.93333333 0.86666667]"
20,"[1.         0.93333333 0.93333333 1.         0.93333333 1.
 1.         0.93333333 0.86666667 0.93333333]","[1.         0.93333333 1.         1.         0.86666667 1.
 1.         0.93333333 0.86666667 0.93333333]"
21,"[0.93333333 0.93333333 1.         0.86666667 0.93333333 1.
 0.86666667 1.         1.         1.        ]","[1.         0.93333333 1.         0.93333333 0.93333333 1.
 0.86666667 1.         1.         0.93333333]"
22,"[1.         1.         0.86666667 0.93333333 0.93333333 1.
 0.93333333 1.         0.93333333 0.93333333]","[0.93333333 1.         0.93333333 1.         1.         1.
 0.86666667 1.         0.93333333 0.93333333]"
23,"[0.86666667 1.         0.93333333 1.         0.86666667 1.
 1.         1.         0.86666667 1.        ]","[0.8        1.         1.         1.         0.93333333 1.
 0.93333333 1.         0.93333333 1.        ]"
24,"[1.         0.93333333 1.         0.93333333 1.         1.
 1.         0.86666667 0.8        0.93333333]","[1.         0.93333333 0.93333333 1.         1.         1.
 1.         0.86666667 0.86666667 1.        ]"
25,"[0.86666667 0.93333333 0.93333333 1.         1.         1.
 1.         0.86666667 0.93333333 1.        ]","[0.93333333 0.93333333 0.93333333 1.         1.         1.
 1.         1.         0.93333333 0.8       ]"
26,"[0.93333333 0.86666667 0.93333333 0.93333333 0.93333333 1.
 0.93333333 1.         1.         1.        ]","[1.         0.93333333 1.         0.93333333 0.93333333 0.93333333
 0.86666667 1.         1.         1.        ]"
27,"[0.86666667 0.93333333 0.93333333 1.         1.         0.93333333
 1.         0.93333333 0.93333333 1.        ]","[0.86666667 0.86666667 1.         1.         1.         0.93333333
 1.         0.93333333 1.         1.        ]"
28,"[1.         0.86666667 1.         1.         0.93333333 0.93333333
 0.93333333 1.         1.         0.86666667]","[1.         0.8        1.         0.93333333 1.         0.93333333
 1.         1.         1.         0.93333333]"
29,"[0.93333333 0.93333333 1.         1.         1.         0.93333333
 0.93333333 0.93333333 0.86666667 1.        ]","[1.         0.86666667 1.         1.         1.         0.93333333
 1.         0.93333333 0.86666667 1.        ]"
